x,y
-9.405400050343578400e+00,-4.555009705945595400e+00
-2.846179527905922324e+00,8.329836507484339458e-01
-6.337704962356148997e+00,-6.622342351742064537e+00
-5.295054188893260516e+00,-8.327272449024867740e+00
-6.694256456610842676e+00,-8.056837257625874216e+00
-2.242576422711759054e+00,1.756225439803829058e+00
-9.867119529961302149e+00,-3.666312394317425394e+00
-2.140580796032239164e+00,3.814845919794057849e+00
-7.140593136025560561e+00,-2.475698209784535031e+00
-1.072271516236366296e+00,5.058261325755651683e+00
-2.195255810844627842e+00,7.365575434470458260e-01
-6.668409574159944952e+00,-1.720370806632720573e+00
-5.812081571127497348e+00,-1.834274712856147849e+00
-9.479322987885709040e+00,-4.620938968628758303e+00
-7.904369806292368850e+00,-7.548886382343229506e+00
-1.780259651233824458e+00,3.791988976298201308e+00
-8.659212963137133956e-01,3.636565981723340002e+00
-7.430300658523452562e+00,-3.712174368053178686e+00
-7.034313888432865980e+00,-8.311648074383567675e+00
-9.106083352541958220e+00,-2.576377322884890297e+00
-9.885686555039619350e+00,-3.340030302581847188e+00
-6.132862204846424525e+00,-8.354343609057258035e+00
-2.429993329997564455e+00,5.207796465730891278e+00
-6.877717224989812195e+00,-2.616487391157463982e+00
-6.509917377514195636e+00,-8.589699615399899457e+00
-1.990294608561948841e+00,-2.916415412934114659e-01
-6.765074725891460972e+00,-3.231161573414235377e+00
-7.052695597847735698e+00,-8.938641214746866126e+00
-1.720014926230946983e+00,2.998599813609189035e-01
-1.865326837792260717e+00,9.600618918914269884e-01
-1.871101002011072767e+00,2.630445573404198711e-01
-2.123806134569842019e+00,5.681813621256863733e-01
-2.022125378326946610e+00,9.241220085725405653e-01
-7.195481023992883252e+00,-8.224450215394446317e+00
-6.456661873753631653e+00,-7.627939956718539527e+00
-1.575448639211379120e+00,4.838532045638355150e+00
-5.813460915176435151e+00,-4.227992297570424718e+00
-9.776768040583977637e+00,-5.368889398440006566e+00
-4.019810015489179378e+00,2.132604849598394914e+00
-6.359120972698537599e+00,-3.951969973951543480e+00
-9.715268354399540840e+00,-3.537843581097257939e+00
-1.436232538708550610e+00,4.231930606008974749e+00
-1.100859216745381453e+01,-4.306474651425720168e+00
-1.459648778270538294e+00,5.026088683832671045e+00
-9.836646188898033216e+00,-3.419940721144787421e+00
-2.129432197534292914e+00,4.397624649599930713e+00
-6.902135992232621753e+00,-7.675442119818905340e+00
-1.631673123836196115e+00,4.661143285766924937e-01
-6.555410506698830631e+00,-2.511981526223759253e+00
-4.381916709969835289e-01,3.873645038216589676e+00
-6.503345421101311530e+00,-4.028658511703249623e+00
-1.479447211782613181e+00,1.856686057630277498e+00
-5.142931053246472040e+00,-2.736866841739111766e+00
-1.793844792601650084e+00,3.785149593983776040e+00
-4.976983819716103152e-01,4.925920781247296709e+00
-9.701266455808221778e+00,-3.899210499519213169e+00
-1.046717610405542231e+01,-3.689053896938561117e+00
-7.517723865436174435e+00,-7.522187280469947446e+00
-5.494727688700727697e+00,-3.499352216314159492e+00
-6.186021912334174200e-01,-2.534751680156985820e-01
-2.733448199048183813e+00,1.186471981838969736e+00
-9.158469987722046568e+00,-3.823739055124443897e+00
-7.925922878624612089e+00,-7.767851857440693841e+00
-7.102418461003326300e+00,-3.554813621878433416e+00
-1.023841007655285473e+01,-3.922830747579231669e+00
-1.997852954352720811e+00,1.421349728128797008e+00
-2.611988693267361938e+00,4.700783920871322574e-01
-4.941534676607895804e+00,-2.311045770146691325e+00
-1.847081561686730655e+00,4.777738695559891724e+00
-6.712652814253010192e+00,-7.247969986851462210e+00
-7.010407394118844948e+00,-7.720361921225078028e+00
-6.718234256873166110e+00,-8.275520316443795821e+00
-1.026041196871618055e+01,-4.400459832581160136e+00
-2.187638464646176395e+00,5.283497577506462761e+00
-2.441677149993213725e+00,4.570580857315126089e+00
-6.588833295743065754e+00,-8.377089223853115385e+00
-7.972760754987819887e-01,-1.376741657232772864e-01
-1.076415079567183142e+01,-3.834780844222136942e+00
-8.467809719079887998e+00,-4.930895982204900996e+00
-2.306141562495086728e+00,6.147468598723102584e-01
-1.095889462782583124e+01,-3.732736972933600406e+00
-2.182570711574105982e+00,5.591208089562583972e+00
-1.317597203372271597e+00,4.353589669728422429e+00
-1.449440681979440315e+00,4.159914976297698352e+00
-7.128616850331905397e+00,-1.374227404796066754e+00
-7.446732837779834746e+00,-2.511264582031754511e+00
-5.838442248841959170e+00,-3.393255137207704220e+00
